Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
247,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3255,3255,3255,19 Nov 2020
248,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3300,3300,3300,22 Jan 2021
249,Virudhunagar,Virudhunagar,Jowar(Sorghum),Red,FAQ,2300,2500,2400,28 Aug 2019
250,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2200,2430,2430,28 Jun 2019
251,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2100,2500,2300,14 May 2019
252,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,3500,4000,3800,17 Nov 2021
253,Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,2430,2695,2520,17 Feb 2020
254,Salem,Salem,Jowar(Sorghum),Other,FAQ,2000,2400,2200,08 Jan 2021
255,Salem,Salem,Jowar(Sorghum),Other,FAQ,2200,2500,2375,20 Nov 2020
256,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2300,2700,2500,13 Feb 2019
257,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,2800,2600,18 Jul 2019
258,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,15 Sep 2021
259,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,20 Oct 2021
260,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,900,900,900,08 Mar 2019
261,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1000,1891,1800,28 Aug 2019
262,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1515,1515,1515,16 Jul 2021
263,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2002,2002,2002,08 Dec 2020
264,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2010,3509,3400,05 Sep 2019
265,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2063,2063,2063,10 Mar 2021
266,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3489,3889,3800,09 Aug 2019
267,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2500,2700,2600,05 Jan 2021
268,Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,3991,4200,4061,31 May 2019
269,Theni,Theni,Jowar(Sorghum),Jowar ( White),FAQ,1700,1800,1750,20 Sep 2021
270,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,14 Jul 2021
271,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,29 Sep 2021
272,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,31 Aug 2021
273,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,31 Mar 2021
274,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3150,4100,3600,09 Sep 2021
275,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3700,4000,3900,26 May 2021
276,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1489,1489,1489,14 Mar 2019
277,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1720,1720,1720,27 Jul 2020
278,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2210,2210,2210,25 Oct 2021
279,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2280,2280,2280,22 Oct 2020
280,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,1900,2000,1950,03 Sep 2021
281,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2300,2800,2500,20 Feb 2019
